"","shortnam","avexpr","logem4","avelf","catho80","muslim80","legor_fr","no_cpm80","f_brit","f_french","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","steplow","deslow","stepmid","desmid","drystep","drywint","edes1975","euro1900","landlock","goldm","iron","silv","zinc","oilres","malfal94","leb95","imr95","meantemp","lt100km","yellow","lat_abst","ind_time","exconst_01","democ_01","exconst_00","democ_00","logpgp95","loghjypl","baseco","neo_europe"
"1","AFG",NA,4.54009819030762,0.4484412,0,99.3,1,0.6999969,1,0,10,14,40,-21,11,51,80,22,70,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.3666667,1800,1,1,1,1,NA,NA,FALSE,FALSE
"2","AGO",5.36363649368286,5.63478946685791,0.772755,68.7,0,1,11.5,0,0,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,8,0,0,0,0,0,146000,1,46.49,125,22.94133,0.118758,1,0.1366667,1975,3,0,NA,NA,7.88269992905573,-2.95594554596797,TRUE,FALSE
"3","ARE",7.18181800842285,NA,NA,0.4,94.9,0,4.399999,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2666667,1971,3,0,NA,NA,11.4044952979326,0.707354927326191,FALSE,FALSE
"4","ARG",6.38636350631714,4.23265600204468,0.1769318,91.6,0.2,1,5.500001,0,0,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,60.0000038146973,0,0,0,0,0,46900,0,72.89,21.8,17.1,0.123089,0,0.3777778,1825,1,1,3,3,9.20729585926199,-1.81434138291464,TRUE,FALSE
"5","ARM",NA,NA,NA,0,0,0,100,0,0,8,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4444444,1991,5,6,NA,NA,7.50564978855966,NA,FALSE,FALSE
"6","AUS",9.31818199157715,2.14593124389648,0.1127971,29.6,0.2,0,46.7,1,0,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,98,0,3,16,9,12,99100,0,78.25,5.6,20.9,0.198958,1,0.3,1901,7,10,NA,NA,9.94638690744463,-0.440004775174292,TRUE,TRUE
"7","AUT",9.72727298736572,NA,0.0332123,88.8,0.6,0,4.099997,0,0,8,13,38,-23,9,72,86,49,76,0,0,0,0,0,0,100,100,1,0,0,0,0,11900,NA,NA,NA,NA,NA,0,0.5244445,1800,1,0,3,1,10.0706877499784,-0.637188340669656,FALSE,FALSE
"8","AZE",NA,NA,NA,0,93.4,0,6.599998,0,0,14,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,0,1,0,0,0,0,177000,NA,NA,NA,NA,NA,0,0.4477778,1991,3,1,NA,NA,7.76608480978754,NA,FALSE,FALSE
"9","BDI",NA,5.63478946685791,0.0133333,78.3,0.9,1,15.9,0,0,24,28,31,17,20,55,82,55,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0.0366667,1962,3,0,NA,NA,6.31962994253863,-3.87307688626234,FALSE,FALSE
"10","BEL",9.68181800842285,NA,0.3638344,90,1.1,1,8.5,0,0,10,13,37,-17,6,87,94,65,86,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.5611111,1830,3,0,5,5,10.0164711926738,-0.417161292458923,FALSE,FALSE
