shortnam;avexpr;logem4;avelf;protmg80;no_cpm80;catho80;muslim80;legor_fr;f_brit;f_french;temp1;temp2;temp3;temp4;temp5;humid1;humid2;humid3;humid4;steplow;deslow;stepmid;desmid;drystep;drywint;edes1975;euro1900;landlock;goldm;iron;silv;zinc;oilres;malfal94;leb95;imr95;meantemp;lt100km;yellow;lat_abst;ind_time;exconst_01;democ_01;exconst_00;democ_00;exconst_70;exconst_90;logpgp95;loghjypl;baseco;neo_europe;africa;asia
AFG;NA;4,54009819;0,4484412;0;0,6999969;0;99,3;1;1;0;10;14;40;-21;11;51;80;22;70;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0,00438;NA;NA;NA;NA;0;0,3666667;1800;1;1;1;1;3;2;NA;NA;0;0;0;1
AGO;5,363636494;5,634789467;0,772755;19,8;11,5;68,7;0;1;0;0;26;28;37;14;21;77;84;74;78;1;1;0;0;0;0;0;8;0;0;0;0;0;146000;1;46,49;125;22,94133;0,118758;1;0,1366667;1975;3;0;1;1;1;3;7,882699929;-2,955945546;1;0;1;0
ARE;7,181818008;NA;NA;0,3;4,399999;0,4;94,9;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;0,2666667;1971;3;0;1;1;1;3;11,4044953;0,707354927;0;0;0;1
ARG;6,386363506;4,232656002;0,1769318;2,7;5,500001;91,6;0,2;1;0;0;17;25;40;-6;6;81;92;60;79;1;0;0;1;0;0;90;60,00000381;0;0;0;0;0;46900;0;72,89;21,8;17,1;0,123089;0;0,3777778;1825;1;1;3;3;1;6;9,207295859;-1,814341383;1;0;0;0
ARM;NA;NA;NA;0;100;0;0;0;0;0;8;12;40;-27;10;62;91;36;75;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4444444;1991;5;6;1;1;1;1;7,505649789;NA;0;0;0;1
AUS;9,318181992;2,145931244;0,1127971;23,5;46,7;29,6;0,2;0;1;0;17;18;43;-10;3;56;85;35;64;1;1;0;0;0;0;99;98;0;3;16;9;12;99100;0;78,25;5,6;20,9;0,198958;1;0,3;1901;7;10;1;1;7;7;9,946386907;-0,440004775;1;1;0;0
AUT;9,727272987;NA;0,0332123;6,5;4,099997;88,8;0,6;0;0;0;8;13;38;-23;9;72;86;49;76;0;0;0;0;0;0;100;100;1;0;0;0;0;11900;0;NA;NA;NA;NA;0;0,5244445;1800;1;0;3;1;7;7;10,07068775;-0,637188341;0;0;0;0
AZE;NA;NA;NA;0;6,599998;0;93,4;0;0;0;14;12;40;-27;10;62;91;36;75;0;0;1;0;0;0;0;0;1;0;0;0;0;177000;0;NA;NA;NA;NA;0;0,4477778;1991;3;1;1;1;1;1;7,76608481;NA;0;0;0;1
BDI;NA;5,634789467;0,0133333;4,9;15,9;78,3;0,9;1;0;0;24;28;31;17;20;55;82;55;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;1;0,0366667;1962;3;0;1;1;1;2;6,319629943;-3,873076886;0;0;1;0
BEL;9,681818008;NA;0,3638344;0,4;8,5;90;1,1;1;0;0;10;13;37;-17;6;87;94;65;86;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5611111;1830;3;0;5;5;7;7;10,01647119;-0,417161292;0;0;0;0
BEN;NA;5,585449219;0,6831192;2,8;63,5;18,5;15,2;1;0;1;27;31;35;18;22;83;91;68;78;1;0;0;0;0;0;0;0;0;0;0;0;0;3930;1;NA;NA;NA;NA;1;0,1033333;1960;3;4;1;1;1;1;7,294808761;-3,205045264;0;0;1;0
BFA;4,454545498;5,634789467;0,5467181;1,6;46,4;9;43;1;0;1;29;38;48;9;19;38;81;19;67;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;44,39;98,8;28,1;0;1;0,1444445;1960;3;0;1;1;1;1;6,55742833;-3,657533684;1;0;1;0
BGD;5,136363506;4,268437862;0;0,2;13,7;0,2;85,9;0;1;0;25;29;42;7;24;37;74;37;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,158000007;58,13;78,8;25,68621;0,401598;1;0,2666667;1972;7;8;1;1;1;2;6,978311003;-3,156909102;1;0;0;1
BGR;8,909090996;NA;0,1157407;0,4;88,5;0,5;10,6;0;0;0;9;16;37;-21;8;71;90;46;78;0;0;0;0;0;0;100;100;0;0;0;0;0;34;0;NA;NA;NA;NA;0;0,4777778;1879;3;0;1;0;3;4;8,95212093;-1,428508794;0;0;0;0
BHR;8;NA;NA;0,9;3,3;0,8;95;0;1;0;25;29;45;5;24;69;85;63;77;0;1;0;0;0;0;0;0;0;0;0;0;0;131000;NA;NA;NA;NA;NA;0;0,2888889;1971;1;0;1;1;1;1;10,52027864;-0,83081639;0;0;0;1
BHS;7,5;4,442651272;0;47,2;27,3;25,5;0;0;1;0;25;29;34;5;19;79;84;62;73;0;0;0;0;0;0;10;10;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,2683333;NA;NA;NA;NA;NA;NA;NA;9,91042435;-0,386553552;1;0;0;0
BIH;NA;NA;NA;4;41;15;40;0;0;0;10;20;41;-22;7;70;93;40;77;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4888889;1992;NA;NA;NA;NA;NA;NA;7,097211619;NA;0;0;0;0
BLR;NA;NA;NA;0;86;14;0;0;0;0;4;2;32;-32;5;58;87;43;83;0;0;0;0;0;0;100;100;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5888889;1991;7;7;1;1;1;1;8,256875146;NA;0;0;0;0
BLZ;NA;5,095589161;0,4090909;13,2;20;66,8;0;0;1;0;26;32;36;9;18;90;94;86;91;0;0;0;0;0;0;20;20;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,1905556;NA;NA;NA;NA;NA;NA;NA;8,425634548;-1,625344198;0;0;0;0
BOL;5,636363506;4,262680054;0,5994118;2,3;5,2;92,5;0;1;0;0;12;21;27;-3;2;77;93;49;74;0;0;0;0;0;0;30,00000191;30,00000191;1;0;0;0;0;14300;0,00528;61,39;65,6;21,5;0;1;0,1888889;1825;3;1;3;3;2;7;7,989836676;-2,898588378;1;0;0;0
BRA;7,909090996;4,262680054;0,0557809;4;8,099997;87,8;0,1;1;0;0;25;32;39;10;18;82;87;68;74;1;0;0;0;0;0;55;40;0;2;0,100000001;0;1;19400;0,193499997;66,78;42,4;23,7;0,092516;1;0,1111111;1824;1;1;3;1;1;6;8,99849406;-1,802388424;1;0;0;0
BRB;NA;4,442651272;0,0733333;33,2;60,7;5,9;0,2;0;1;0;26;31;33;16;21;67;79;64;78;0;0;0;0;0;0;20;20;0;0;0;0;0;21000;NA;NA;NA;NA;NA;1;0,1455556;NA;NA;NA;NA;NA;NA;NA;9,218793678;-0,907976105;0;0;0;0
BTN;NA;NA;0,4375;0;95;0;5;0;1;0;17;24;36;-2;18;68;90;53;84;0;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;0;0,3033333;1907;1;0;1;1;1;1;7,685708169;-2,733980057;0;0;0;0
BWA;7,727272511;NA;0,3775;26,8;63,8;9,4;0;0;1;0;20;31;42;-4;10;55;74;55;74;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0,389999986;NA;NA;NA;NA;1;0,2444444;1966;5;6;1;1;5;6;8,856833521;-1,700388114;0;0;1;0
CAF;NA;5,634789467;0,7855555;50;13,7;33,1;3,2;1;0;1;27;34;38;14;18;90;96;49;72;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;NA;NA;NA;NA;1;0,0777778;1960;1;0;1;1;1;1;6,485990872;-3,499502302;0;0;1;0
CAN;9,727272987;2,778819323;0,3761876;29,6;23,2;46,6;0,6;0;1;0;4;12;39;-37;3;76;90;40;76;0;0;1;0;0;0;98;99;0;4;7;13;15;185000;0;78,98;6;-0,2;0,021164;0;0,6666667;1867;7;7;7;9;7;7;10,06061443;-0,380719399;1;1;0;0
CHE;10;NA;0,307598;43,2;3,7;52,8;0,3;0;0;0;9;15;38;-23;7;80;92;51;76;0;0;0;0;0;0;100;100;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5222222;1848;7;10;7;10;7;7;10,304827;-0,346252367;0;0;0;0
CHL;7,818181992;4,232656002;0,050625;1,9;16;82,1;0;1;0;0;17;27;37;-4;6;70;93;38;64;1;1;0;0;0;0;50;50;0;0;0;0;0;21700;0;74,94;12,8;13,4;0,660182;0;0,3333333;1816;1;1;7;5;5;7;8,902704518;-1,398903995;1;0;0;0
CHN;7,772727489;4,770684719;0,2333264;0;97,6;0;2,4;0;0;0;11;13;43;-23;15;46;74;46;74;0;0;1;1;0;0;0;0;0;0;5;0;3;19800;0,00552;NA;NA;NA;NA;0;0,3888889;1800;1;1;1;1;2;3;7,529704009;-3,06345231;0;0;0;1
CIV;7;6,504288197;0,8565299;4,7;52,8;18,5;24;1;0;1;26;31;36;15;20;93;96;71;82;0;0;0;0;0;0;0;0;0;0;0;0;0;7460;1;46,72;87,3;26,0907;0,171056;1;0,0888889;1960;1;0;1;1;1;1;7,646964957;-2,492563822;1;0;1;0
CMR;6,454545498;5,634789467;0,8520455;18,1;24,9;35;22;1;0;0;25;31;36;14;17;97;98;62;75;0;0;0;0;0;0;0;0;0;0;0;0;0;31900;1;54,73;74,4;24,43333;0,09824;1;0,0666667;1960;5;4;1;1;3;2;7,405453157;-2,64033047;1;0;1;0
COG;4,681818008;5,480638981;0,6692753;24,9;20,8;53,9;0,4;1;0;1;25;32;37;12;19;77;89;54;71;0;0;0;0;0;0;0;0;0;0;0;0;0;338000;1;48,55;89,5;24,74141;0,047893;1;0,0111111;1960;4;4;1;1;3;2;8,069807813;-2,686340024;1;0;1;0
COL;7,318181992;4,262680054;0,055796;0,9;2,300002;96,6;0,2;1;0;0;14;22;24;4;7;82;88;51;64;0;0;0;0;0;0;25;20;0;0;0;0;0;57;0,249899998;70,43;30;22,5;0,159722;1;0,0444444;1832;3;4;3;1;6;6;8,764336625;-1,417791952;1;0;0;0
COM;NA;NA;1;0,1;0,100003;0,1;99,7;1;0;1;26;30;33;19;22;74;79;74;78;0;0;0;0;0;0;5;5;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,1344444;1975;5;4;1;1;1;1;7,384123557;-1,636245346;0;0;1;0
CPV;NA;NA;0,375;3;1,099998;95,9;0;1;0;0;25;30;34;13;22;58;74;54;73;0;0;0;0;0;0;5;5;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,1777778;1975;5;2;1;1;1;5;7,466393419;-2,708218714;0;0;1;0
CRI;7,045454502;4,357990265;0,0532143;5,8;3,7;90,5;0;1;0;0;21;29;33;9;14;80;92;55;78;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;76,03;12,1;25,1;1;1;0,1111111;1838;3;0;7;8;7;7;8,774353968;-1,448143257;1;0;0;0
CZE;8,863636017;NA;NA;4,6;56,2;39,2;0;0;0;0;5;13;38;-28;6;74;87;45;78;0;0;0;0;0;0;100;100;1;0;0;0;0;0;0;NA;NA;NA;NA;0;0,5494444;1993;7;10;1;1;3;3;9,534302231;NA;0;0;0;0
DEU;NA;NA;0,0437553;46,4;18,58;35;0,02;0;0;0;8;14;38;-24;8;78;91;50;81;0;0;0;0;0;0;100;100;0;0;0;0;0;5580;0;NA;NA;NA;NA;0;0,5666667;1871;3;0;4;4;1;1;10,0650829;-0,705313864;0;0;0;0
DJI;NA;3,258096457;0,7142857;0,2;2,500002;6,7;90,6;1;0;1;32;34;47;17;23;57;84;43;74;1;0;0;0;0;0;NA;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,1255556;1977;2;0;1;1;1;2;NA;-2,458826546;0;0;1;0
DNK;9,727272987;NA;0,0275;95,2;4,000003;0,6;0,2;0;0;0;8;10;33;-24;8;70;89;59;87;0;0;0;0;0;0;100;100;0;0;0;0;0;141000;0;NA;NA;NA;NA;0;0,6222222;1800;1;0;3;1;7;7;10,0275328;-0,636946012;0;0;0;0
DOM;6,181818008;4,867534637;0,0108306;1,4;2,000001;96,6;0;1;0;1;26;33;37;15;20;88;92;58;66;0;0;0;0;0;0;25;25;0;0;0;0;0;0;0;70,61;33,6;25,6;1;1;0,2111111;1844;3;1;3;1;3;5;8,504580966;-1,658277093;1;0;0;0
DZA;6,5;4,359269619;0,293724;0;0,4000015;0,5;99,1;1;0;1;21;24;42;0;1;67;75;57;66;0;1;0;0;0;0;0;13;0;0;0;0;0;339000;0;68,89;43,8;19,3;0,047186;0;0,3111111;1962;2;0;1;1;1;3;8,865422332;-0,696099565;1;0;1;0
ECU;6,545454502;4,262680054;0,3253571;1,9;1,699998;96,4;0;1;0;0;15;26;30;0;4;80;94;40;60;0;0;1;0;0;0;30,00000191;30,00000191;0;0;0;0;0;141;0,137249991;69,52;45,6;19,1;0,368411;0;0,0222222;1830;3;1;3;1;5;7;8,637105381;-1,617029173;1;0;0;0
EGY;6,772727489;4,216562271;0,0230618;0,2;17,8;0,2;81,8;1;1;0;24;31;47;1;17;50;70;18;41;0;1;0;0;0;0;0;0;0;0;0;0;0;111000;0;66,27;50,5;22,6;0,239163;0;0,3;1951;7;7;1;1;3;3;8,403943851;-2,494341775;1;0;1;0
ERI;NA;NA;NA;;NA;0;33;1;0;0;31;33;44;17;23;56;83;44;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;1;0,1666667;1993;3;0;1;1;1;1;7,13800166;NA;0;0;1;0
ESP;9,681818008;NA;0,2745161;0,1;2,999999;96,9;0;1;0;0;15;16;39;-10;8;58;86;33;71;0;0;0;0;0;0;100;100;0;0;0;0;3;575;0;NA;NA;NA;NA;0;0,4444444;1800;1;0;7;6;1;7;9,695743521;-0,699160226;0;0;0;0
EST;NA;NA;NA;66;31,99;2;0,01;0;0;0;5;7;33;-33;5;70;91;58;89;0;0;0;0;0;0;100;100;0;0;0;0;0;NA;0;NA;NA;NA;NA;0;0,6555555;1917;7;8;1;1;3;7;8,772871486;NA;0;0;0;0
ETH;5,727272511;3,258096457;0,6770825;3,8;64,1;0,7;31,4;1;0;0;17;27;34;0;7;56;86;33;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,75;43,32;116;NA;0,021018;1;0,0888889;1855;7;5;7;5;1;2;6,023979999;-4,059515347;1;0;1;0
FIN;9,727272987;NA;0,105;93,1;6,800002;0,1;0;0;0;0;5;7;33;-33;5;70;91;58;89;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,7111111;1917;7;8;1;1;7;7;9,880195049;-0,647248843;0;0;0;0
FJI;NA;2,4336133;0,8;39,1;44,1;9;7,8;0;1;0;25;32;37;13;19;76;82;73;79;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0,2;1970;7;6;1;1;7;3;8,529161384;-1,862179608;0;0;0;0
FRA;9,727272987;1,057790279;0,1454839;2,4;18,2;76,4;3;1;0;0;13;15;40;-15;9;82;91;54;82;0;0;0;0;0;0;100;100;0;0;1;0;0;3090;0;NA;NA;NA;NA;0;0,5111111;1800;1;0;7;8;6;7;9,939212977;-0,455026033;0;0;0;0
GAB;7,818181992;5,634789467;0,7966667;18,8;15,2;65,2;0,8;1;0;1;27;33;37;17;19;85;95;69;79;0;0;0;0;0;0;0;0;0;0;0;0;0;579000;1;52,42;87,3;24,5;0,261791;1;0,0111111;1960;2;0;1;1;1;1;9,564463195;-1,416277502;1;0;1;0
GBR;9,772727013;0,93609333;0,1062846;16,1;69,4;13,1;1,4;0;0;0;12;14;34;-10;7;70;87;56;81;0;0;0;0;0;0;100;100;0;0;0;0;0;71700;0;NA;NA;NA;NA;0;0,6;1800;7;4;7;7;7;7;9,928421041;-0,619182364;0;0;0;0
GEO;NA;NA;NA;0;88;1;11;0;0;0;13;20;40;-15;14;57;80;40;65;0;0;1;0;0;0;100;100;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0,4666667;1991;4;4;1;1;1;1;7,541343042;NA;0;0;0;1
GHA;6,272727489;6,504288197;0,7060708;25,8;39,8;18,7;15,7;0;1;0;27;32;38;15;21;95;97;61;77;1;0;0;0;0;0;0;0;0;0;0;0;0;30;1;60;65,8;26,35758;0,192991;1;0,0888889;1960;3;2;1;1;2;1;7,310266034;-2,675638993;1;0;1;0
GIN;6,545454502;6,180016518;0,75983;0,1;29,8;1,1;69;1;0;1;27;31;36;17;21;83;94;63;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;46,5;124;24,43889;0,140641;1;0,1222222;1958;1;0;1;1;1;1;6,960819504;-2,451242413;1;0;1;0
GMB;8,272727013;7,293017864;0,7803704;0,4;12,9;1,9;84,8;0;1;0;24;33;41;7;21;66;95;26;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;122;25,66596;0,3997;1;0,1475556;1965;5;8;1;1;5;5;7,409085681;-2,562065569;1;0;1;0
GNB;4,545454502;5,10388279;0,85;0,6;50,9;10,2;38,3;1;0;0;28;35;43;13;21;70;87;45;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;1;0,1333333;1974;3;0;1;1;1;2;7,087282257;-3,202322504;0;0;1;0
GRC;7,818181992;NA;0,0777778;0,1;98;0,4;1,5;1;0;0;19;21;43;-6;16;47;78;34;63;0;0;0;0;0;0;100;100;0;0;0;0;0;4010;0;NA;NA;NA;NA;0;0,4333333;1827;1;0;7;10;1;7;9,641818284;-0,863677587;0;0;0;0
GTM;5,136363506;4,262680054;0,4766667;4,9;1,1;94;0;1;0;0;19;28;32;5;12;81;92;51;72;0;0;0;0;0;0;20;20;0;0;0;0;0;2700;0,012;64,04;46;21,7;0,425458;1;0,17;1839;1;1;3;4;3;3;8,327401552;-2,195573592;1;0;0;0
